iter	Passed	Remaining
0	1	249
1	2	207
2	3	205
3	4	201
4	5	217
5	7	227
6	8	225
7	9	223
8	10	225
9	11	224
10	12	221
11	13	217
12	14	214
13	15	210
14	16	208
15	18	216
16	19	213
17	20	211
18	21	209
19	22	206
20	23	204
21	24	202
22	25	199
23	26	197
24	27	195
25	28	193
26	29	191
27	31	193
28	32	192
29	34	193
30	35	192
31	36	191
32	37	189
33	38	187
34	39	186
35	40	184
36	41	182
37	42	181
38	43	180
39	45	182
40	46	181
41	47	179
42	49	179
43	50	178
44	51	176
45	52	175
46	53	173
47	54	172
48	55	171
49	57	171
50	58	169
51	59	168
52	60	167
53	61	166
54	62	165
55	63	164
56	65	163
57	66	162
58	67	161
59	68	160
60	69	158
61	70	157
62	71	156
63	73	155
64	74	155
65	76	154
66	78	154
67	79	153
68	80	152
69	81	150
70	82	149
71	83	148
72	84	147
73	85	145
74	86	144
75	87	143
76	88	142
77	89	140
78	91	139
79	92	138
80	93	137
81	94	136
82	95	134
83	96	133
84	98	132
85	99	131
86	100	130
87	101	129
88	102	128
89	103	126
90	104	125
91	105	124
92	106	123
93	108	121
94	109	120
95	110	119
96	111	118
97	113	118
98	114	117
99	116	116
100	117	114
101	118	113
102	119	112
103	120	111
104	121	110
105	122	108
106	123	107
107	125	106
108	126	105
109	127	104
110	128	102
111	129	101
112	130	100
113	131	99
114	132	98
115	133	96
116	134	95
117	135	94
118	136	92
119	137	91
120	138	90
121	140	89
122	141	88
123	141	86
124	143	85
125	144	84
126	145	83
127	146	82
128	147	81
129	148	79
130	149	78
131	150	77
132	151	76
133	153	75
134	154	74
135	155	73
136	156	71
137	157	70
138	158	69
139	159	68
140	160	67
141	161	66
142	163	65
143	164	64
144	166	63
145	167	61
146	168	60
147	169	59
148	170	58
149	172	57
150	173	56
151	174	55
152	175	53
153	176	52
154	179	52
155	180	50
156	181	49
157	182	48
158	183	47
159	184	46
160	185	45
161	187	43
162	188	42
163	188	41
164	189	40
165	191	39
166	193	38
167	194	37
168	195	35
169	197	34
170	198	33
171	199	32
172	200	31
173	201	30
174	202	28
175	204	27
176	205	26
177	206	25
178	208	24
179	209	23
180	210	22
181	211	20
182	212	19
183	213	18
184	214	17
185	215	16
186	216	15
187	218	13
188	219	12
189	220	11
190	222	10
191	223	9
192	224	8
193	225	6
194	226	5
195	227	4
196	229	3
197	231	2
198	232	1
199	234	0
